iter	Passed	Remaining
0	133	133692
1	135	67710
2	137	45564
3	138	34418
4	139	27699
5	139	23192
6	140	19967
7	142	17617
8	143	15821
9	145	14359
10	145	13081
11	146	12023
12	146	11131
13	147	10379
14	148	9759
15	149	9179
16	150	8712
17	151	8289
18	153	7913
19	153	7538
20	154	7195
21	155	6893
22	155	6621
23	157	6424
24	159	6217
25	161	6032
26	162	5851
27	163	5678
28	164	5517
29	165	5361
30	166	5214
31	167	5079
32	168	4950
33	170	4830
34	171	4717
35	172	4613
36	173	4513
37	174	4420
38	175	4332
39	176	4245
40	177	4160
41	178	4077
42	179	3997
43	180	3920
44	181	3847
45	182	3775
46	182	3705
47	183	3640
48	184	3577
49	185	3516
50	185	3457
51	186	3403
52	187	3350
53	188	3298
54	188	3247
55	189	3197
56	190	3150
57	191	3104
58	191	3060
59	192	3015
60	193	2971
61	193	2930
62	194	2891
63	195	2852
64	195	2816
65	196	2780
66	197	2744
67	197	2711
68	198	2677
69	199	2645
70	199	2615
71	200	2586
72	201	2557
73	202	2528
74	202	2499
75	203	2471
76	203	2443
77	204	2417
78	205	2390
79	205	2365
80	206	2340
81	206	2316
82	207	2289
83	207	2265
84	208	2243
85	208	2220
86	209	2198
87	210	2176
88	210	2155
89	211	2134
90	211	2113
91	212	2093
92	212	2073
93	213	2053
94	213	2034
95	214	2015
96	214	1997
97	215	1979
98	215	1961
99	216	1944
100	216	1927
101	217	1912
102	217	1897
103	218	1881
104	218	1866
105	219	1850
106	219	1834
107	220	1819
108	220	1804
109	221	1789
110	221	1775
111	222	1761
112	222	1746
113	222	1733
114	223	1719
115	223	1705
116	224	1692
117	224	1679
118	225	1666
119	225	1653
120	225	1641
121	226	1628
122	226	1616
123	227	1605
124	227	1593
125	228	1582
126	228	1570
127	228	1559
128	229	1549
129	229	1539
130	230	1528
131	230	1518
132	231	1508
133	231	1498
134	232	1489
135	233	1480
136	233	1471
137	233	1461
138	234	1451
139	234	1442
140	235	1433
141	235	1423
142	236	1414
143	236	1405
144	236	1396
145	237	1388
146	237	1379
147	238	1371
148	238	1362
149	239	1354
150	239	1346
151	239	1338
152	240	1330
153	240	1322
154	241	1315
155	241	1307
156	242	1300
157	242	1292
158	242	1285
159	243	1277
160	243	1269
161	244	1263
162	244	1256
163	245	1250
164	245	1243
165	246	1236
166	246	1230
167	247	1223
168	247	1217
169	247	1210
170	248	1204
171	248	1198
172	249	1191
173	249	1185
174	250	1179
175	250	1173
176	251	1167
177	251	1161
178	251	1155
179	252	1149
180	252	1143
181	253	1138
182	253	1132
183	254	1126
184	254	1121
185	254	1115
186	255	1110
187	255	1104
188	256	1099
189	256	1094
190	257	1089
191	257	1084
192	258	1079
193	258	1074
194	259	1070
195	259	1065
196	260	1061
197	260	1056
198	261	1052
199	261	1047
200	262	1042
201	262	1037
202	263	1033
203	263	1028
204	264	1024
205	264	1019
206	264	1014
207	265	1010
208	265	1005
209	266	1001
210	266	997
211	267	993
212	267	988
213	267	984
214	268	979
215	268	975
216	269	971
217	269	967
218	270	963
219	270	959
220	271	955
221	271	951
222	271	947
223	272	943
224	272	939
225	273	935
226	273	932
227	274	928
228	274	925
229	275	921
230	275	918
231	276	914
232	276	911
233	277	907
234	277	904
235	278	900
236	278	897
237	279	893
238	279	890
239	280	886
240	280	883
241	280	879
242	281	876
243	281	873
244	282	869
245	282	866
246	283	863
247	283	859
248	283	856
249	284	853
250	284	849
251	285	846
252	285	843
253	286	840
254	286	836
255	286	833
256	287	830
257	287	827
258	288	824
259	288	821
260	289	818
261	289	815
262	290	813
263	290	810
264	291	808
265	291	805
266	292	802
267	292	799
268	293	796
269	293	794
270	294	791
271	294	788
272	295	785
273	295	783
274	296	780
275	296	777
276	296	774
277	297	772
278	297	769
279	298	766
280	298	764
281	299	761
282	299	759
283	300	756
284	300	753
285	300	751
286	301	748
287	301	746
288	302	743
289	302	741
290	303	738
291	303	736
292	303	733
293	304	731
294	305	729
295	305	727
296	306	725
297	307	723
298	307	721
299	308	718
300	308	716
301	309	714
302	309	712
303	310	710
304	310	708
305	311	706
306	311	704
307	312	701
308	312	699
309	313	697
310	313	695
311	314	692
312	314	690
313	315	688
314	315	686
315	315	683
316	316	681
317	316	679
318	317	677
319	317	675
320	318	673
321	318	671
322	319	668
323	319	666
324	320	665
325	320	663
326	321	661
327	321	659
328	322	657
329	322	655
330	323	653
331	323	651
332	324	648
333	324	646
334	324	644
335	325	642
336	325	640
337	326	638
338	326	636
339	327	634
340	327	632
341	327	630
342	328	628
343	328	626
344	329	624
345	329	623
346	330	621
347	330	619
348	330	617
349	331	615
350	331	613
351	332	611
352	332	609
353	333	607
354	333	605
355	333	603
356	334	602
357	335	600
358	335	599
359	336	597
360	336	596
361	337	594
362	338	593
363	338	591
364	338	589
365	339	587
366	339	586
367	340	584
368	340	582
369	341	580
370	341	579
